**HL.1**, **Regional Loading due to Storm Surge/Tsunami Hazards**, **GC**, **D**, **InProgress**, **_**, **_**, **_**, **1.1.3.3.2**, **_**, **_**, , 
HL.1.1, "Multi-scale models for wind and water flows, i.e. lower fidelity regional models with more refined models to capture local flow", SP, D, InProgress, _, _, _, 1.1.3.3.2, _, _, ,
**HL.2**, **Local Scale Storm Surge/Tsunami Hazard Options**, **GC**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.2.1.2**, **_**, **_**, , 
**HL.2.1**, **Using computational fluid dynamics to model the interface and loading between waves and buildings**, **GC**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.2.1.2**, **_**, **_**,  , 
HL.2.1.1, CFD to model fluid flow around a single rigid structure, SP, M, Implemented, _, _, _,  `HydroUQ v1 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_, _, _, , 
HL.2.1.2, Mesh refinement around structures, SP, M, Implemented, _, _, _, Example `hdro-0003 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0003/README.html>`_, _, _, , 
HL.2.1.3, CFD to model fluid flow around a single deformable structure, SP, M, Implemented, _, _, _,  `HydroUQ v2 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0003 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0003/README.html>`_, _, _, , 
HL.2.1.4, CFD to model fluid flow considering inflow and accumulation of fluid inside a rigid structure, SP, M, InProgress, _, _, _, 1.1.2.1.2, _, _, _, 
HL.2.1.5, "CFD to model fluid flow considering inflow, accumulation, and possible outflow of fluid across a deformable structure", SP, M, Implemented, _, _, _, `HydroUQ v2 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0003 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0003/README.html>`_, _, _, _, 
**HL.2.2**, "**Quantification of flood-borne debris hazards**", **GC**, **M**, **InProgress**, _, _, _, `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Examples `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_ & `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
HL.2.2.1, "Ability to quantify the effect of unconstrained and non-colliding floating bodies", SP, M, Implemented, _, _, _,  `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_, _, _, _,
HL.2.2.2, "Ability to quantify the effect of colliding flood-borne debris", SP, M, Implemented, _, _, _,  `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
HL.2.2.3, "Explore multiple methods like Material Point Method (MPM), Immersed Boundary Method (IBM), DEM-CFD, Smoothed Particle Hydrodyanmics (SPH), particle tracking", SP, M, InProgress, _, _, _,  `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
HL.2.2.4, "Integrate one of the methods for integrating particles with Hydro workflow", GC, M, Implemented, _, _, _,  `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, _,
**HL.2.3**, "**Load combinations need to be developed to account for the simultaneous impacts of various flood forces, such as those generated by breaking waves, moving water and flood-borne debris**", **GC**, **M**, **InProgress**, _, _, _,  `HydroUQ v3 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_ : Example `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_, **_**, **_**, ,
**HL.2.5**, "**Multi-scale models for wind and water flows, i.e., lower fidelity regional models with more refined models to capture local flow**", **SP**, **D**, **InProgress**, **_**, **_**, **_**, **1.1.3.3.2**, , , ,
HL.2.5.1, Interface GeoClaw and OpenFOAM, SP, M, Implemented, _, _, _, `HydroUQ v1 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/usage/desktop/hydro/releasenotes.html>`_, _, _, , 
HL.2.5.2, Interface AdCirc and OpenFOAM, SP, M, InProgress, _, _, _, "1.1.2.1.2 & 1.1.3.3.2", _, _, , 
**HL.2.6**, **Libraries of high-resolution hurricane wind/surge/wave simulations**, **SP**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.1.1.4**, **_**, **_**, , 
HL.2.6.1, Develop a simulation library of GeoClaw simulations, SP, M, _, _, _, _, _, _, _, , 
HL.2.6.2, Develop a simulation library of AdCirc simulations, SP, M, _, _, _, _, _, _, _, , 
HL.2.6.3, Develop a simulation library of OpenFOAM simulations, SP, M, _, _, _, _, _, _, _, , 
**HL.2.7**, **Ability to simulate with surrogate models as an alternative to full 3D simulations**, **SP**, **M**, **InProgress**, **_**, **_**, **_**, **1.1.2.2.2 & 1.1.2.2.3**, _, _, _, , 
HL.2.7.1, Ability to simulate with surrogate models as an alternative to full 3D debris, SP, M, InProgress, _, _, _, 1.1.2.2.2, _, _, , 
HL.2.7.2, Ability to simulate with surrogate models as an alternative to full 3D fluids, SP, M, InProgress, _, _, _, 1.1.2.2.3, _, _, , 
**HL.2.8**, **Develop digital twin of the Oregon State University's Large Wave Flume (OSU LWF) wave tank facility**, **SP**, **M**, **Implemented**, _, _, _, Example `hdro-0002 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0002/README.html>`_, _, _, , 
**HL.2.9**, **Develop digital twin of the Waseda University's Tsunami Wave Basin (WU TWB) wave tank facility**, **SP**, **D**, **Implemented**, _, _, _, Example `hdro-0004 <https://nheri-simcenter.github.io/Hydro-Documentation/common/user_manual/examples/desktop/hdro-0004/README.html>`_, _, _, ,