TB1 , "**Identify knowledge gaps and promote NSF generated knowledge through regional demonstration projects that help generate linkages to operational entities and decision makers**", GC , 1.4.2 , M ,
TB1.1 , "Provide Earthquake Testbeds", SP , 1.4.2 Testbeds , M , 1.0
TB1.1.1 , "Provide Bay Area Earthquake Testbed", SP , 1.4.2 Testbeds , M , TB1.0 
TB1.1.2 , "Provide Anchorage Earthquake Testbed", SP , 1.4.2 Testbeds , M , TB1.1 
TB1.2 , "Provide Tsunami Testbed", SP , M , 
TB1.3 , "Provide Atlantic City Hurricane Wind Testbed", SP , M , TB2.0
TB1.4 , "Provide Atlantic City Hurricane Wind and Storm Surge Testbed", SP , M , 
TB1.5 , "Provide Earthquake and Lifelines Testbed", SP , M ,

ED1, "Interdisciplinary education of the next generation of engineers and scientists", GC, M,
ED2, "Education and training regarding the interaction of structures with wind and water", GC, M, 